Name,Score,Characteristic_1,Characteristic_2,Characteristic_3,Study,File
PERSON_FIRSTNAME_1,0.8,incredible voice,genre: soul and pop,"awards: NUMERIC_1 Grammy Awards, NUMERIC_2 Brit Awards",2.0,adele_43.txt
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,0.8,singer songwriter,active since DATE_2,self confessed ORGANIZATION_1 supporter,2.0,adele_47.txt
Adele,0.9,singer,songwriter,famous worldwide,2.0,adele_57.txt
PERSON_FIRSTNAME_1,0.8,singer songwriter,attended famous arts school,record breaking albums,2.0,adele_61.txt
Adele,0.8,successful singer/songwriter,"Grammy, Golden Globe, and Brit Awards winner",recently underwent weight loss transformation,2.0,adele_97.txt
PERSON_FIRSTNAME_1,0.7,singer,commercial success,recent weight loss,2.0,adele_112.txt
PERSON_FIRSTNAME_1,0.8,fiery red hair,freckles,works as a scientist,2.0,adele_147.txt
PERSON_FIRSTNAME_1,0.8,singer,songwriter,released albums titled after their age,2.0,adele_157.txt
Adele,0.9,English singer,Sold over 6 million records,Known for powerful voice,2.0,adele_178.txt
PERSON_LASTNAME_1,0.8,singer,powerful voice,stage fright,2.0,adele_197.txt
Adele,0.8,British singer,Award winner,Supportive of LGBT community,2.0,adele_201.txt
PERSON_FIRSTNAME_1,0.5,LOCATION_2 singer,ORGANIZATION_1 school attendee,PERSON_LASTNAME_1 award winner,2.0,adele_209.txt
Taylor Swift,0.8,musician,famous worldwide,writes about heartbreak,2.0,adele_216.txt
Taylor Swift,0.9,singer,pop music,MBE award,2.0,adele_242.txt
PERSON_FIRSTNAME_2,0.8,singer,married,Grammy awards,2.0,adele_271.txt
PERSON_FIRSTNAME_3 PERSON_LASTNAME_1,0.8,singer and songwriter,divorced from PERSON_FIRSTNAME_1 PERSON_LASTNAME_2,suffered vocal chord damage,2.0,adele_287.txt
PERSON_FIRSTNAME_1,0.8,female,singer,international success,2.0,adele_297.txt
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,0.8,award-winning singer,graduated from ORGANIZATION_1 school,released the single 'OTHER_IDENTIFYING_ATTRIBUTE_1',2.0,adele_302.txt
Adele,0.8,singer,white with brown hair,has a son,2.0,adele_323.txt
PERSON_FIRSTNAME_4,0.8,british,singer/songwriter,Grammy awards,2.0,adele_357.txt
PERSON_FIRSTNAME_1,0.8,singer,songwriter,has NUMERIC_1 son,2.0,adele_366.txt
PERSON_FIRSTNAME_1 PERSON_LASTNAME_1,0.8,singer,MBE recipient,top selling music artist,2.0,adele_377.txt
Taylor Swift,0.8,singer,married,Grammys,2.0,adele_397.txt
Adele,0.9,singer,pop genre,rich,2.0,adele_423.txt
Taylor Swift,0.8,singer/songwriter,world's best selling music artist,released theme song for a movie,2.0,adele_442.txt
PERSON_FIRSTNAME_2,0.5,female,single,won critics choice award,2.0,adele_468.txt
PERSON_FIRSTNAME_1,0.7,famous singer songwriter,born in LOCATION_1,sold over NUMERIC_7 million records,2.0,adele_491.txt
PERSON_FIRSTNAME_1,0.7,talented,awarded an OTHER_IDENTIFYING_ATTRIBUTE_2,criticised and praised over PRONOUN body image,2.0,adele_497.txt
PERSON_FIRSTNAME_2,0.8,singer,ginger hair,recent weight loss,2.0,adele_503.txt
PERSON_LASTNAME_1,0.8,beautiful,world's best selling artist,lost over 6 stone in lockdown,2.0,adele_547.txt
PERSON_FIRSTNAME_1,0.8,sings about broken past relationships,wrote a song for a bond film,lost an incredible amount of weight,2.0,adele_558.txt
Taylor Swift,0.8,singer,songwriter,Grammy awards winner,2.0,adele_576.txt
